A̱o,Trimestre,Mbps (Media de bajada),Incremento Porcentual,Trimestre
2022,3,62.46,6.88,Jul-Sept 2022
2022,2,58.44,6.04,Abr-Jun 2022
2022,1,55.11,5.29,Ene-Mar 2022
2021,4,52.34,8.01,Oct-Dic 2021
2021,3,48.46,6.20,Jul-Sept 2021
2021,2,45.63,5.85,Abr-Jun 2021
2021,1,43.11,1.77,Ene-Mar 2021
2020,4,42.36,4.16,Oct-Dic 2020
2020,3,40.67,6.13,Jul-Sept 2020
2020,2,38.32,2.13,Abr-Jun 2020
2020,1,37.52,32.77,Ene-Mar 2020
2019,4,28.26,16.87,Oct-Dic 2019
2019,3,24.18,18.94,Jul-Sept 2019
2019,2,20.33,16.97,Abr-Jun 2019
2019,1,17.38,8.97,Ene-Mar 2019
2018,4,15.95,3.84,Oct-Dic 2018
2018,3,15.36,10.90,Jul-Sept 2018
2018,2,13.85,4.77,Abr-Jun 2018
2018,1,13.22,10.07,Ene-Mar 2018
2017,4,12.01,44.00,Oct-Dic 2017
2017,3,8.34,16.48,Jul-Sept 2017
2017,2,7.16,8.16,Abr-Jun 2017
2017,1,6.62,4.42,Ene-Mar 2017
2016,4,6.34,6.73,Oct-Dic 2016
2016,3,5.94,9.59,Jul-Sept 2016
2016,2,5.42,6.69,Abr-Jun 2016
2016,1,5.08,1.80,Ene-Mar 2016
2015,4,4.99,4.18,Oct-Dic 2015
2015,3,4.79,5.27,Jul-Sept 2015
2015,2,4.55,4.60,Abr-Jun 2015
2015,1,4.35,4.57,Ene-Mar 2015
2014,4,4.16,7.49,Oct-Dic 2014
2014,3,3.87,2.93,Jul-Sept 2014
2014,2,3.76,3.87,Abr-Jun 2014
2014,1,3.62,,Ene-Mar 2014
